,index,충전소명,충전소ID,충전기ID,충전기타입,주소,위도,경도,이용가능시간,기관아이디,운영기관명,운영기관 연락처,충전기상태,상태갱신일시,충전량유형,시도코드,주차료무료여부,충전소안내,이용자제한여부,이용제한사유,삭제여부,삭제사유
27,27,독산1동 공영주차장,ME000030,1,3,서울특별시 금천구 범안로12가길 65,37.464893,126.89479,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
28,28,제일모직아울렛 건너편(공중전화부스),ME000031,1,6,서울특별시 금천구 가산동 239-27,37.4744454,126.8867302,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
29,29,영등포구 대신시장(공중전화부스),ME000032,1,6,서울특별시 영등포구 신길1동 116-15,37.5113404,126.9176919,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
30,30,현대차 남부서비스센터,ME000034,1,3,서울특별시 동작구 노량진로 53,37.514185,126.931894,24시간 이용가능,ME,환경부,1661-9408,9,20210800000000.0,,11,N,,N,,N,
31,31,동작주차공원 공영주차장,ME000035,1,6,서울특별시 동작구 현충로 213,37.503803,126.976775,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
32,32,조원동 제1공영주차장,ME000036,1,6,서울특별시 관악구 신림동 571-6,37.481069,126.905703,24시간 이용가능,ME,환경부,1661-9408,9,20211100000000.0,,11,N,,N,,N,
33,33,사당역 공영주차장,ME000037,1,3,서울특별시 서초구 과천대로 950-18,37.475256,126.982638,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
34,34,이마트 양재점,ME000038,1,3,서울특별시 서초구 매헌로 16,37.463293,127.036812,09:00~24:00,ME,환경부,1661-9408,9,20211000000000.0,,11,N,,N,,N,
35,35,수서역 공영주차장,ME000039,1,3,서울특별시 강남구 수서동 735,37.487569,127.101016,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
36,36,학여울역 공영주차장,ME000040,1,3,서울특별시 강남구 남부순환로 3104,37.496722,127.070444,05:00~익일01:00,ME,환경부,1661-9408,9,20211000000000.0,,11,Y,,N,,N,
37,37,GS칼텍스 삼성로점,ME000041,1,3,서울특별시 강남구 삼성로 563,37.5118672,127.0536275,24시간 이용가능,ME,환경부,1661-9408,9,20210700000000.0,,11,N,20190626 공사로 인한 임시철거,Y,20190626 공사로 인한 임시철거,N,
38,38,개포동공원 공영주차장,ME000042,1,6,서울특별시 강남구 개포로 509,37.489757,127.068269,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
39,39,탄천제2호 공영주차장,ME000043,1,6,서울특별시 강남구 일원동 4-49,37.493865,127.08723,24시간 이용가능,ME,환경부,1661-9408,9,20210700000000.0,,11,Y,,N,,N,
40,40,롯데마트 잠실점,ME000044,1,3,서울특별시 송파구 올림픽로 240,37.511818,127.096321,10:00~24:00,ME,환경부,1661-9408,9,20211100000000.0,,11,N,,N,,N,
41,41,이마트 명일점,ME000045,1,3,서울특별시 강동구 고덕로 276,37.554606,127.155966,10:00~24:00,ME,환경부,1661-9408,9,20210800000000.0,,11,N,,N,,N,
42,374,노보텔,ME174001,1,6,서울특별시 강남구 봉은사로 130,37.5052721,127.0289991,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
43,375,현대블루핸즈 대치북부점,ME174002,1,6,서울특별시 강남구 선릉로 336,37.4996481,127.0513534,24시간 이용가능,ME,환경부,1661-9408,9,20210700000000.0,,11,N,20190626 공사로 인한 임시철거,Y,20190626 공사로 인한 임시철거,N,
44,376,암사1동 공영주차장,ME174003,1,6,서울특별시 강동구 고덕로28길 36,37.5529087,127.1372547,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
45,377,천호유수지 공영주차장,ME174004,1,6,서울특별시 강동구 선사로 70,37.5448122,127.1218396,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
46,378,천호3동 제1공영주차장,ME174005,1,6,서울특별시 강동구 진황도로29길 34,37.5387951,127.1333987,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
47,379,가로공원로 지하공영주차장,ME174006,1,6,서울특별시 강서구 가로공원로 189,37.5372628,126.8383789,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
48,380,곰달래문화복지센터 공영주차장,ME174007,1,6,서울특별시 강서구 강서로5길 50,37.5289561,126.8490887,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
49,381,볏골공원 지하공영주차장,ME174008,1,6,서울특별시 강서구 까치산로4길 22,37.5419747,126.8444499,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
50,382,화곡6-1 공영주차장,ME174009,1,6,서울특별시 강서구 우장산로 114,37.5530457,126.8488169,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
51,383,홈플러스 강서점,ME174010,1,6,서울특별시 강서구 화곡로 398,37.5591218,126.8549199,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
52,384,신림동 제1공영주차장,ME174011,1,6,서울특별시 관악구 관천로 98,37.4874046,126.9235075,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
53,385,난곡동 제1공영주차장,ME174012,1,6,서울특별시 관악구 난곡로34나길 14,37.4722977,126.9231169,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
54,386,낙성대동주민센터,ME174013,1,6,서울특별시 관악구 낙성대로4가길 5,37.476296,126.9583876,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
55,387,낙성대동주민센터,ME174013,2,6,서울특별시 관악구 낙성대로4가길 5,37.476296,126.9583876,24시간 이용가능,ME,환경부,1661-9408,9,20210800000000.0,,11,Y,,N,,N,
56,388,보라매 제1공영주차장,ME174014,1,6,서울특별시 관악구 봉천로21길 38,37.488301,126.9346119,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
57,389,보라매 제1공영주차장,ME174014,2,6," 입구좌측, 지하 각 1기",37.488301,126.9346119,24시간 이용가능,ME,환경부,1661-9408,9,20211100000000.0,,11,N,,N,,N,
58,390,원신 공영주차장,ME174015,1,6,서울특별시 관악구 양지길 63,37.470038,126.9292421,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
59,391,어린이대공원 후문주차장,ME174016,1,6,서울특별시 광진구 능동로 216,37.5515067,127.0869275,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
60,392,홈플러스 신도림점,ME174017,1,6,서울특별시 구로구 경인로 661,37.5099693,126.888413,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
61,393,롯데마트 중계점,ME174018,1,6,서울특별시 노원구 노원로 330,37.6466673,127.0715514,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
62,394,홈플러스 중계점,ME174019,1,6,서울특별시 노원구 동일로204가길 12,37.6400856,127.0685413,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
63,395,실증용 Mock-up 주택 홍보관,ME174020,1,6,서울특별시 노원구 하계동 251-8,37.6381803,127.0737876,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
64,396,실증용 Mock-up 주택 홍보관,ME174020,2,6,서울특별시 노원구 하계동 251-8,37.6381803,127.0737876,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
65,397,동대문구청,ME174021,1,6,서울특별시 동대문구 천호대로 145,37.5746807,127.0401814,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
66,398,중앙대학교병원 다정관 주차장,ME174022,1,6,서울특별시 동작구 흑석로 102,37.5055471,126.9607195,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
67,399,양화진공영주차장,ME174023,1,6,서울특별시 마포구 토정로 2,37.5457992,126.9117265,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
68,400,공덕1-1공영주차장,ME174024,1,6, 옥상,37.5471234,126.9612454,주차장 전산시스템 교체 작업으로 입장 불가/12월 중 ,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
69,401,홍제견인차량보관소 주차장,ME174025,1,6,서울특별시 서대문구 홍제내길 227,37.5905929,126.9407564,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
70,402,홍제견인차량보관소 주차장,ME174025,2,6,서울특별시 서대문구 홍제내길 227,37.5905929,126.9407564,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
71,403,서울시인재개발원,ME174026,1,6,서울특별시 서초구 남부순환로 340길 58,37.481369,127.0238502,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
72,404,서울추모공원,ME174027,1,6,서울특별시 서초구 양재대로12길 74,37.4536062,127.0428005,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
73,405,아시아공원 공영주차장,ME174028,1,6,서울특별시 송파구 잠실동 84,37.5102969,127.0788121,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
74,406,아시아공원 공영주차장,ME174028,2,6,서울특별시 송파구 잠실동 84,37.5102969,127.0788121,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
75,407,아시아공원 공영주차장,ME174028,3,6,서울특별시 송파구 잠실동 84,37.5102969,127.0788121,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
76,408,롯데마트 송파점,ME174029,1,6,서울특별시 송파구 중대로 80,37.4918392,127.1178931,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
77,409,홈플러스 영등포점,ME174030,1,6,서울특별시 영등포구 당산로 42,37.5190208,126.8957999,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
78,410,신길6동 공영노외주차장(구 신길 제5동 주민센터),ME174031,1,6,서울특별시 영등포구 신길동 3203,37.50251299,126.9110497,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
79,411,신길4동1마을공원 공영주차장,ME174032,1,6,서울특별시 영등포구 신길로40길 5,37.507122,126.9116817,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
80,412,당산에스에이치빌 아파트 앞,ME174033,1,6,서울특별시 영등포구 영신로 183,37.524217,126.9019801,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
81,413,영등포 제3공영,ME174034,1,6,서울특별시 영등포구 영중로3길 7,37.5180087,126.9030865,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
82,414,신창동 공영주차장,ME174035,1,6,서울특별시 용산구 원효로35길 53,37.5353568,126.9552587,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
83,415,한남동 공영주차장,ME174036,1,6,서울특별시 용산구 이태원로 224-19,37.5349284,127.0002489,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
84,416,현대자동차 수색대리점,ME174037,1,6,서울특별시 은평구 수색로 342-1,37.5867665,126.8880299,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
85,417,은평구민체육센터,ME174038,1,6,서울특별시 은평구 진관1로 40,37.6310603,126.9246413,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
86,418,태화빌딩,ME174039,1,6,서울특별시 종로구 인사동5길 29,37.5718148,126.9850443,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
87,419,한국예술종합학교(종로),ME174040,1,6,서울특별시 종로구 창경궁로 215,37.5824318,126.9974047,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
88,420,국립극장,ME174041,1,6,서울특별시 중구 장충단로 59,37.5517908,127.0002167,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
89,421,국립극장,ME174041,2,6,서울특별시 중구 장충단로 59,37.5517908,127.0002167,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
90,422,홈플러스 상봉점,ME174042,1,6,서울특별시 중랑구 망우로 353,37.5983156,127.0905669,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
91,423,홈플러스 신내점,ME174043,1,6,서울특별시 중랑구 신내로 201,37.6159847,127.0939656,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
92,424,용마폭포공원 공영주차장,ME174044,1,6,서울특별시 중랑구 용마산로 250-12,37.5745068,127.089592,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
93,571,서울만남휴게소(부산방향),ME178009,1,6,서울특별시 서초구 양재대로12길 73-71 (원지동),37.4600218,127.0420378,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
94,572,서울만남휴게소(부산방향),ME178009,2,6,서울특별시 서초구 양재대로12길 73-71 (원지동),37.4600218,127.0420378,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
95,815,파크하얏트서울호텔,ME181101,1,6,서울특별시 강남구 테헤란로606,37.508834,127.064114,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,Y,,N,,N,
96,816,스위스그랜드호텔(구 그랜드힐튼호텔),ME181102,1,6,서울특별시 서대문구 연희로 353,37.590003,126.934744,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
97,817,현대남부서비스센터,ME181103,1,6,서울특별시 동작구 대방동 70-5 ,37.513933,126.931298,24시간 이용가능,ME,환경부,1661-9408,9,20210600000000.0,,11,Y,,N,,N,
98,854,롯데 VIC마켓 도봉점,ME181129,1,6,서울특별시 도봉구 마들로 645 (방학동),37.667731,127.045491,24시간 이용가능,ME,환경부,1661-9408,9,20201200000000.0,,11,Y,,N,,N,
99,857,롯데 VIC마켓 금천점,ME181133,1,6,,37.470581,126.895698, 10:00~22:00,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
100,858,롯데 VIC마켓 금천점,ME181133,2,6,,37.470581,126.895698, 10:00~22:00,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
101,863,우리은행본점,ME181150,12,6,서울특별시 중구 소공로 51번지,37.559534,126.981817,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
102,864,우리은행본점,ME181150,13,6,서울특별시 중구 소공로 51번지,37.559534,126.981817,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
103,1070,마곡레포츠센터 ,ME183001,1,6,"서울특별시 강서구 양천로 251, 입구 우측",37.5728411,126.8323738,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,Y,,N,,N,
104,1071,창2동 제4공영주차장,ME183002,1,6,서울특별시 도봉구 창2동 582-22,37.6413031,127.0364035,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
105,1072,창3동 제1공영주차장,ME183003,1,6,"서울특별시 도봉구 창3동 504-21, 좌측 안쪽",37.6332558,127.0412125,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
106,1073,창천공영주차장,ME183004,1,6,"서울특별시 마포구 노고산동 33-1, B3 28",37.55493,126.9389738,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
107,1074,번동햇살 공영주차장,ME183005,1,6,"서울특별시 강북구 오현로 21길 84, 옥상 주차장",37.6249449,127.0334805,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
108,1075,난향동 주민센터,ME183006,1,6,서울특별시 관악구 난곡로 67,37.4616153,126.9189711,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
109,1076,시흥제4동공영주차장,ME183007,1,6,"서울특별시 금천구 독산로 36나길 21, B1 18",37.4589664,126.9084827,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
110,1077,쌍문3동 제2공영주차장,ME183008,1,6,"서울특별시 도봉구 쌍문3동 315-62, 지하 1층 안쪽",37.6493531,127.0293841,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
111,1078,스탠포드호텔코리아,ME183009,1,6,"서울특별시 마포구 상암동 월드컵북로 58길 15, 지하4층 18",37.5823581,126.886648,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
112,1159,국회도서관,ME183103,1,6,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",37.5300002,126.9169991,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
113,1160,국회도서관,ME183103,2,4,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",37.5300002,126.9169991,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,Y,,N,,N,
114,1161,국회도서관,ME183103,52,4,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",37.5300002,126.9169991,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
115,1507,국회의원회관,ME183219,1,6,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",37.5284644,126.9149198,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
116,1508,국회의원회관,ME183219,2,4,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",37.5284644,126.9149198,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
117,1509,국회의원회관,ME183219,52,4,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",37.5284644,126.9149198,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
118,1584,노원에코센터,ME184075,1,6,서울특별시 노원구 덕릉로 450,37.644779,127.059382,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
119,1585,영등포구청 환승공영주차장,ME184076,1,6,서울특별시 영등포구 양산로111,37.524521,126.895436,06:00~21:00,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
120,1586,서울의료원,ME184077,1,6,서울특별시 중랑구 신내로 156,37.6128457,127.0993409,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,Y,,N,,N,
121,1693,롯데 빅마켓,ME18A002,1,6,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",37.528123,126.90408,24시간 이용가능,ME,환경부,031-994-6115,2,20211100000000.0,,11,Y,,N,,N,
122,1694,롯데 빅마켓,ME18A002,2,5,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",37.528123,126.90408,24시간 이용가능,ME,환경부,031-994-6115,2,20211100000000.0,,11,Y,,N,,N,
123,1695,롯데 빅마켓,ME18A002,3,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",37.528123,126.90408,24시간 이용가능,ME,환경부,031-994-6115,2,20211100000000.0,,11,Y,,N,,N,
124,1696,롯데 빅마켓,ME18A002,4,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",37.528123,126.90408,24시간 이용가능,ME,환경부,031-994-6115,2,20211100000000.0,,11,Y,,N,,N,
125,1697,롯데 빅마켓,ME18A002,5,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",37.528123,126.90408,24시간 이용가능,ME,환경부,031-994-6115,2,20211100000000.0,,11,Y,,N,,N,
126,1698,롯데 빅마켓,ME18A002,6,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",37.528123,126.90408,24시간 이용가능,ME,환경부,031-994-6115,2,20211100000000.0,,11,Y,,N,,N,
127,2136,성애병원,ME18B159,1,6,서울특별시 영등포구 여의대방로 53길 22,37.51202,126.92238,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
128,2137,냉천길 공영주차장,ME18B160,1,6,서울특별시 강북구 삼양로 230-12,37.62393,127.01953,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
129,2138,미아동 공영주차장,ME18B161,1,6,서울특별시 강북구 도봉로 61길 46,37.62851,127.02233,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
130,2139,수유마을시장 공영주차장,ME18B162,1,6,서울특별시 강북구 도봉로 69길 29,37.62047,127.02679,"평일07:00~22:00,토일 09:00~18:00",ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
131,2140,개봉1동 주민센터 옆 공영주차장,ME18B163,1,6,서울특별시 구로구 개봉동 134-8,37.50016,126.85106,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,N,,N,,N,
132,2141,하늘공원주차장,ME18B164,1,6,서울특별시 구로구 벚꽃로 370 ,37.48739,126.88051,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
133,2142,쌍문2동 제3공영주차장,ME18B165,1,6,서울특별시 도봉구 쌍문2동 710-4,37.66116,127.03864,24시간 이용가능,ME,환경부,1661-9408,3,20211100000000.0,,11,Y,,N,,N,
134,2143,서초구청,ME18B166,1,6,서울특별시 서초구 남부순환로 2584,37.48358,127.03269,"유료09:00~18:00, 무료18:00~08:00",ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
135,2144,북한산국립공원 정릉탐방지원센터,ME18B167,1,6,서울특별시 성북구 정릉동 829-1,37.61846,126.9969,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
